tanggal;Data Vaksinasi Aktual
27-Jan-21;66
28-Jan-21;5468
29-Jan-21;11287
30-Jan-21;20810
31-Jan-21;22548
01-Feb-21;35406
02-Feb-21;51999
03-Feb-21;71621
04-Feb-21;96553
05-Feb-21;120725
06-Feb-21;137207
07-Feb-21;139131
08-Feb-21;171270
09-Feb-21;221453
10-Feb-21;279251
11-Feb-21;345605
12-Feb-21;380546
13-Feb-21;415486
14-Feb-21;425578
15-Feb-21;482625
16-Feb-21;537147
17-Feb-21;597328
18-Feb-21;623832
19-Feb-21;668914
20-Feb-21;732634
21-Feb-21;736710
22-Feb-21;764905
23-Feb-21;789966
24-Feb-21;825650
25-Feb-21;853745
26-Feb-21;865870
27-Feb-21;982370
28-Feb-21;998439
01-Mar-21;1002218
02-Mar-21;1047288
03-Mar-21;1076409
04-Mar-21;1100228
05-Mar-21;1114537
06-Mar-21;1130524
07-Mar-21;1133787
08-Mar-21;1158432
09-Mar-21;1197772
10-Mar-21;1262878
11-Mar-21;1295615
12-Mar-21;1339362
13-Mar-21;1454836
14-Mar-21;1460222
15-Mar-21;1572786
16-Mar-21;1716749
17-Mar-21;1876140
18-Mar-21;1948531
19-Mar-21;2221200
20-Mar-21;2301978
21-Mar-21;2312601
22-Mar-21;2494422
23-Mar-21;2709545
24-Mar-21;2941016
25-Mar-21;3015190
26-Mar-21;3152612
27-Mar-21;3235027
28-Mar-21;3246809
29-Mar-21;3330639
30-Mar-21;3561192
31-Mar-21;3717081
01-Apr-21;3854451
02-Apr-21;3867762
03-Apr-21;3954343
04-Apr-21;4014803
05-Apr-21;4230800
06-Apr-21;4431504
07-Apr-21;4554695
08-Apr-21;4697396
09-Apr-21;4952219
10-Apr-21;5079048
11-Apr-21;5101921
12-Apr-21;5322501
13-Apr-21;5433715
14-Apr-21;5572859
15-Apr-21;5715813
16-Apr-21;5821888
17-Apr-21;5890790
18-Apr-21;5911343
19-Apr-21;6052612
20-Apr-21;6158748
21-Apr-21;6341931
22-Apr-21;6488197
23-Apr-21;6699327
24-Apr-21;6798241
25-Apr-21;6829415
26-Apr-21;7023351
27-Apr-21;7214534
28-Apr-21;7411095
29-Apr-21;7583443
30-Apr-21;7646284
01-May-21;7678485
02-May-21;7703110
03-May-21;7850407
04-May-21;8002236
05-May-21;8166067
06-May-21;8339055
07-May-21;8486054
08-May-21;8612158
09-May-21;8643830
10-May-21;8804961
11-May-21;8888529
12-May-21;8918784
13-May-21;8919949
14-May-21;8921978
15-May-21;8960076
16-May-21;8975937
17-May-21;9093965
18-May-21;9276187
19-May-21;9428223
20-May-21;9580546
21-May-21;9746522
22-May-21;9853451
23-May-21;9881024
24-May-21;9906629
25-May-21;10125480
26-May-21;10236019
27-May-21;10428151
28-May-21;10521440
29-May-21;10571387
30-May-21;10584489
31-May-21;10697852
01-Jun-21;10721078
02-Jun-21;10877109
03-Jun-21;11003152
04-Jun-21;11070389
05-Jun-21;11124356
06-Jun-21;11127764
07-Jun-21;11231321
08-Jun-21;11398871
09-Jun-21;11455920
10-Jun-21;11503947
11-Jun-21;11534345
12-Jun-21;11567459
13-Jun-21;11568443
14-Jun-21;11637090
15-Jun-21;11699021
16-Jun-21;11859890
17-Jun-21;12022624
18-Jun-21;12139826
19-Jun-21;12232701
20-Jun-21;12242103
21-Jun-21;12398428
22-Jun-21;12583389
23-Jun-21;12672597
24-Jun-21;12838745
25-Jun-21;12956968
26-Jun-21;13069678
27-Jun-21;13115761
28-Jun-21;13257752
29-Jun-21;13369395
30-Jun-21;13528655
01-Jul-21;13677230
02-Jul-21;13830517
03-Jul-21;13970538
04-Jul-21;13979564
05-Jul-21;14095900
06-Jul-21;14357113
07-Jul-21;14516938
08-Jul-21;14659369
09-Jul-21;14949729
10-Jul-21;14983549
11-Jul-21;15016402
12-Jul-21;15038548
13-Jul-21;15254221
14-Jul-21;15685534
15-Jul-21;15876777
16-Jul-21;16098999
17-Jul-21;16217855
18-Jul-21;16283343
19-Jul-21;16444462
20-Jul-21;16453805
21-Jul-21;16713406
22-Jul-21;17012830
23-Jul-21;17253709
24-Jul-21;17798139
25-Jul-21;17933565
26-Jul-21;18367098
27-Jul-21;18857251
28-Jul-21;19354329
29-Jul-21;19867271
30-Jul-21;20302847
31-Jul-21;20621294
01-Aug-21;20707102
02-Aug-21;21071096
03-Aug-21;21496995
04-Aug-21;21976626
05-Aug-21;22283984
06-Aug-21;23082021
07-Aug-21;23528130
08-Aug-21;24212024
09-Aug-21;24615964
10-Aug-21;25249992
11-Aug-21;25502849
12-Aug-21;26144162
13-Aug-21;27055840
14-Aug-21;27899974
15-Aug-21;28112285
16-Aug-21;28609254
17-Aug-21;28853053
18-Aug-21;29527386
19-Aug-21;30230233
